event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
45,-36,0,45,0,36,0,45,3.14159,1,0,43.8106,52.8394,0,41.2767,49.7071,0,41.2767,49.7071,0,-17.0447,-36.2465,0,0,0,-0,46.4035,50.9611,-0,2.59292,-1.87825,0,-2.53393,-3.13226,0,-2.53393,-3.13226,0,-60.8553,-89.0859,0,-43.8106,-52.8394,-0,5.12685,1.25401,-0,5.12685,1.25401,-0,63.4482,87.2076,-0,46.4035,50.9611,2010-Mar-26 17:12:47.428054,2010-Mar-26 17:12:55.195321,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
46,-36,0,45,0,36,0,45,3.14159,4,0,46.1495,42.5593,0,-2.18707,45.8792,0,-2.18707,45.8792,0,40.2663,40.582,0,0,0,-0,50.8183,38.2004,-0,4.66882,-4.35888,0,-48.3365,3.31993,0,-48.3365,3.31993,0,-5.88316,-1.97727,0,-46.1495,-42.5593,-0,53.0054,-7.67881,-0,53.0054,-7.67881,-0,10.552,-2.38161,-0,50.8183,38.2004,2010-Mar-26 17:12:58.733583,2010-Mar-26 17:13:07.751221,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
47,-36,0,45,0,36,0,45,3.14159,5,0,-47.272,77.5158,0,-42.1972,78.8137,0,-42.1972,78.8137,0,-55.0123,69.5018,0,0,0,-0,-53.5717,67.863,-0,-6.2997,-9.65287,0,5.07483,1.29785,0,5.07483,1.29785,0,-7.74034,-8.01405,0,47.272,-77.5158,-0,-11.3745,-10.9507,-0,-11.3745,-10.9507,-0,1.44064,-1.63882,-0,-53.5717,67.863,2010-Mar-26 17:13:11.364979,2010-Mar-26 17:13:21.219680,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
48,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,1.95929,43.7213,0,1.95929,43.7213,0,-25.6407,33.7117,0,0,0,-0,-28.7817,38.1594,-0,-1.78175,5.15941,0,28.9593,10.7213,0,28.9593,10.7213,0,1.35928,0.711704,0,27,-33,-0,-30.741,-5.5619,-0,-30.741,-5.5619,-0,-3.14103,4.4477,-0,-28.7817,38.1594,2010-Mar-26 17:13:24.668606,2010-Mar-26 17:13:34.539830,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
49,-36,0,45,0,36,0,45,3.14159,4,0,-7.52167,35.9322,0,2.01468,43.7212,0,2.01468,43.7212,0,-9.06092,36.1573,0,0,0,-0,-12.708,38.1025,-0,-5.18628,2.17027,0,9.53636,7.78895,0,9.53636,7.78895,0,-1.53925,0.225058,0,7.52167,-35.9322,-0,-14.7226,-5.61868,-0,-14.7226,-5.61868,-0,-3.64703,1.94521,-0,-12.708,38.1025,2010-Mar-26 17:13:38.071799,2010-Mar-26 17:13:47.249609,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
50,-36,0,45,0,36,0,45,3.14159,1,0,-31.6875,71.2933,0,-31.8873,75.9614,0,-31.8873,75.9614,0,-16.5317,-30.8165,0,0,0,-0,-47.6594,77.8572,-0,-15.9719,6.56383,0,-0.199804,4.66804,0,-0.199804,4.66804,0,15.1558,-102.11,0,31.6875,-71.2933,-0,-15.7721,1.89579,-0,-15.7721,1.89579,-0,-31.1277,108.674,-0,-47.6594,77.8572,2010-Mar-26 17:13:50.772642,2010-Mar-26 17:14:02.757202,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
50,-36,0,45,0,36,0,45,3.14159,1,0,-31.6875,71.2933,0,-31.8873,75.9614,0,-31.8873,75.9614,0,-16.5317,-30.8165,0,0,0,-0,-49.2062,75.4187,-0,-17.5186,4.12534,0,-0.199804,4.66804,0,-0.199804,4.66804,0,15.1558,-102.11,0,31.6875,-71.2933,-0,-17.3188,-0.542691,-0,-17.3188,-0.542691,-0,-32.6744,106.235,-0,-49.2062,75.4187,2010-Mar-26 17:13:50.772642,2010-Mar-26 17:14:11.422860,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
51,-36,0,45,0,36,0,45,3.14159,1,0,-35.5413,50.5232,0,-35.187,48.1616,0,-35.187,48.1616,0,-16.5317,-30.8165,0,0,0,-0,-50.9839,49.7655,-0,-15.4426,-0.757684,0,0.354276,-2.36157,0,0.354276,-2.36157,0,19.0096,-81.3397,0,35.5413,-50.5232,-0,-15.7968,1.60389,-0,-15.7968,1.60389,-0,-34.4522,80.582,-0,-50.9839,49.7655,2010-Mar-26 17:14:15.076191,2010-Mar-26 17:14:23.379374,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
52,-36,0,45,0,36,0,45,3.14159,4,0,9.53361,43.8974,0,2.23635,47.2653,0,2.23635,47.2653,0,6.90763,43.7226,0,0,0,-0,16.3855,41.252,-0,6.85185,-2.64542,0,-7.29726,3.36792,0,-7.29726,3.36792,0,-2.62598,-0.174797,0,-9.53361,-43.8974,-0,14.1491,-6.01334,-0,14.1491,-6.01334,-0,9.47783,-2.47062,-0,16.3855,41.252,2010-Mar-26 17:14:27.081433,2010-Mar-26 17:14:38.383776,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
53,-36,0,45,0,36,0,45,3.14159,4,0,-10.9077,64.9495,0,2.23635,47.2653,0,2.23635,47.2653,0,-13.0028,64.3791,0,0,0,-0,-23.3051,65.6348,-0,-12.3974,0.685241,0,13.1441,-17.6842,0,13.1441,-17.6842,0,-2.09506,-0.570437,0,10.9077,-64.9495,-0,-25.5415,18.3694,-0,-25.5415,18.3694,-0,-10.3023,1.25568,-0,-23.3051,65.6348,2010-Mar-26 17:14:42.014392,2010-Mar-26 17:14:52.203724,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
