event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-Mar-30 14:18:01.765276,2010-Mar-30 14:18:01.765276,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
4,-36,0,45,0,36,0,45,3.14159,4,0,-20.7516,59.9126,0,2.01468,43.0561,0,2.01468,43.0561,0,-22.1134,58.2297,0,0,0,-0,18.1054,57.7534,-0,38.8571,-2.15914,0,22.7663,-16.8564,0,22.7663,-16.8564,0,-1.36179,-1.6828,0,20.7516,-59.9126,-0,16.0908,14.6973,-0,16.0908,14.6973,-0,40.2189,-0.476335,-0,18.1054,57.7534,2010-Mar-30 14:18:47.355127,2010-Mar-30 14:19:08.742860,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
5,-36,0,45,0,36,0,45,3.14159,5,0,49.7571,31.509,0,44.4811,30.282,0,44.4811,30.282,0,42.1162,34.8266,0,0,0,-0,39.255,44.436,-0,-10.5021,12.9269,0,-5.27604,-1.22699,0,-5.27604,-1.22699,0,-7.64098,3.31754,0,-49.7571,-31.509,-0,-5.22607,14.1539,-0,-5.22607,14.1539,-0,-2.86113,9.60939,-0,39.255,44.436,2010-Mar-30 14:19:13.465312,2010-Mar-30 14:19:19.182459,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
6,-36,0,45,0,36,0,45,3.14159,1,0,9,51,0,8.34228,49.5514,0,8.34228,49.5514,0,-17.6204,-35.673,0,0,0,-0,12.2854,52.1928,-0,3.2854,1.19276,0,-0.657717,-1.44856,0,-0.657717,-1.44856,0,-26.6204,-86.673,0,-9,-51,-0,3.94312,2.64132,-0,3.94312,2.64132,-0,29.9059,87.8658,-0,12.2854,52.1928,2010-Mar-30 14:19:22.765853,2010-Mar-30 14:19:26.323199,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
7,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,1.07411,44.6071,0,1.07411,44.6071,0,6.07797,49.8992,0,0,0,-0,2.53541,50.6765,-0,-6.46459,-0.323486,0,-7.92589,-6.39289,0,-7.92589,-6.39289,0,-2.92203,-1.10077,0,-9,-51,-0,1.46131,6.0694,-0,1.46131,6.0694,-0,-3.54256,0.777284,-0,2.53541,50.6765,2010-Mar-30 14:19:30.185972,2010-Mar-30 14:19:36.093233,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
8,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,1.07411,44.5519,0,1.07411,44.5519,0,23.2878,34.6598,0,0,0,-0,23.8895,39.2139,-0,-3.11049,6.21393,0,-25.9259,11.5519,0,-25.9259,11.5519,0,-3.7122,1.65976,0,-27,-33,-0,22.8154,-5.33793,-0,22.8154,-5.33793,-0,0.601707,4.55417,-0,23.8895,39.2139,2010-Mar-30 14:19:40.089189,2010-Mar-30 14:19:51.652680,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:18:01.765276
8,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,1.07411,44.5519,0,1.07411,44.5519,0,23.2878,34.6598,0,0,0,-0,23.8895,39.2139,-0,-3.11049,6.21393,0,-25.9259,11.5519,0,-25.9259,11.5519,0,-3.7122,1.65976,0,-27,-33,-0,22.8154,-5.33793,-0,22.8154,-5.33793,-0,0.601707,4.55417,-0,23.8895,39.2139,2010-Mar-30 14:19:40.089189,2010-Mar-30 14:19:51.652680,2010-Mar-30 14:18:08.765852,2010-Mar-30 14:22:01.006797
