event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-Mar-31 16:08:47.358983,2010-Mar-31 16:08:47.358983,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
0,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,0.853053,43.7228,0,0.853053,43.7228,0,24.5297,34.3814,0,0,0,-0,7.62637,33.3263,-0,-19.3736,0.326312,0,-26.1469,10.7228,0,-26.1469,10.7228,0,-2.47029,1.38142,0,-27,-33,-0,6.77331,-10.3965,-0,6.77331,-10.3965,-0,-16.9033,-1.0551,-0,7.62637,33.3263,2010-Mar-31 16:08:53.543555,2010-Mar-31 16:09:08.313634,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
1,-36,0,45,0,36,0,45,3.14159,1,0,9.38611,33.0167,0,7.87807,29.9924,0,7.87807,29.9924,0,-17.9144,-35.673,0,0,0,-0,7.37218,20.7921,-0,-2.01393,-12.2246,0,-1.50804,-3.02436,0,-1.50804,-3.02436,0,-27.3005,-68.6898,0,-9.38611,-33.0167,-0,-0.505894,-9.20026,-0,-0.505894,-9.20026,-0,25.2866,56.4651,-0,7.37218,20.7921,2010-Mar-31 16:09:12.244189,2010-Mar-31 16:09:17.772506,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
2,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,1.29524,46.3207,0,1.29524,46.3207,0,6.09944,49.6537,0,0,0,-0,5.8387,41.3147,-0,-3.1613,-9.68526,0,-7.70476,-4.67933,0,-7.70476,-4.67933,0,-2.90056,-1.34632,0,-9,-51,-0,4.54346,-5.00593,-0,4.54346,-5.00593,-0,-0.260741,-8.33894,-0,5.8387,41.3147,2010-Mar-31 16:09:21.547500,2010-Mar-31 16:09:28.492388,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
3,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,1.29524,46.3207,0,1.29524,46.3207,0,6.42148,49.7763,0,0,0,-0,5.29515,44.8672,-0,-3.70485,-6.13279,0,-7.70476,-4.67933,0,-7.70476,-4.67933,0,-2.57852,-1.22367,0,-9,-51,-0,3.99991,-1.45345,-0,3.99991,-1.45345,-0,-1.12633,-4.90912,-0,5.29515,44.8672,2010-Mar-31 16:09:32.185976,2010-Mar-31 16:09:38.032692,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
4,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,1.29524,46.3207,0,1.29524,46.3207,0,23.8014,34.1585,0,0,0,-0,20.9928,36.146,-0,-6.00722,3.14603,0,-25.7048,13.3207,0,-25.7048,13.3207,0,-3.19855,1.15846,0,-27,-33,-0,19.6975,-10.1746,-0,19.6975,-10.1746,-0,-2.80867,1.98757,-0,20.9928,36.146,2010-Mar-31 16:09:42.486846,2010-Mar-31 16:09:48.453617,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
5,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,1.29524,46.3207,0,1.29524,46.3207,0,-17.978,-53.8244,0,0,0,-0,-20.8584,36.558,-0,6.14158,3.55803,0,28.2952,13.3207,0,28.2952,13.3207,0,9.02205,-86.8244,0,27,-33,-0,-22.1537,-9.76264,-0,-22.1537,-9.76264,-0,-2.88047,90.3824,-0,-20.8584,36.558,2010-Mar-31 16:09:52.404836,2010-Mar-31 16:09:59.913015,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
6,-36,0,45,0,36,0,45,3.14159,1,0,-27.9718,66.7358,0,0,0,0,0,0,0,0,0,0,0,0,-0,-33.8658,73.7664,-0,-5.89398,7.03062,0,27.9718,-66.7358,0,27.9718,-66.7358,0,27.9718,-66.7358,0,27.9718,-66.7358,-0,-33.8658,73.7664,-0,-33.8658,73.7664,-0,-33.8658,73.7664,-0,-33.8658,73.7664,2010-Mar-31 16:10:03.813124,2010-Mar-31 16:10:11.203047,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
7,-36,0,45,0,36,0,45,3.14159,1,0,3.23437,35.2802,0,1.79317,32.6548,0,1.79317,32.6548,0,-19.0509,-36.2465,0,0,0,-0,-3.02914,33.5719,-0,-6.26352,-1.70838,0,-1.4412,-2.62547,0,-1.4412,-2.62547,0,-22.2853,-71.5267,0,-3.23437,-35.2802,-0,-4.82231,0.917091,-0,-4.82231,0.917091,-0,16.0218,69.8184,-0,-3.02914,33.5719,2010-Mar-31 16:10:15.213726,2010-Mar-31 16:10:20.675329,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
8,-36,0,45,0,36,0,45,3.14159,1,0,-27,33,0,-27.0914,30.184,0,-27.0914,30.184,0,-19.0509,-36.2465,0,0,0,-0,-25.9915,29.6304,-0,1.00854,-3.36964,0,-0.091407,-2.81602,0,-0.091407,-2.81602,0,7.94908,-69.2465,0,27,-33,-0,1.09995,-0.553615,-0,1.09995,-0.553615,-0,-6.94054,65.8769,-0,-25.9915,29.6304,2010-Mar-31 16:10:24.626544,2010-Mar-31 16:10:28.733324,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
