event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
9,-36,0,45,0,36,0,45,3.14159,4,0,-48.6024,30.646,0,2.01468,45.2704,0,2.01468,45.2704,0,-47.7819,33.5439,0,0,0,-0,-37.8508,35.7369,-0,10.7516,5.09089,0,50.617,14.6244,0,50.617,14.6244,0,0.820508,2.89788,0,48.6024,-30.646,-0,-39.8654,-9.53354,-0,-39.8654,-9.53354,-0,9.9311,2.19301,-0,-37.8508,35.7369,2010-Mar-31 16:10:32.927074,2010-Mar-31 16:10:37.287881,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
10,-36,0,45,0,36,0,45,3.14159,1,0,-33.1131,56.5586,0,-32.6844,55.363,0,-32.6844,55.363,0,-15.4747,-37.1204,0,0,0,-0,-44.2921,57.582,-0,-11.179,1.02338,0,0.428644,-1.19555,0,0.428644,-1.19555,0,17.6384,-93.679,0,33.1131,-56.5586,-0,-11.6077,2.21893,-0,-11.6077,2.21893,-0,-28.8174,94.7023,-0,-44.2921,57.582,2010-Mar-31 16:10:40.969963,2010-Mar-31 16:10:46.427536,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
11,-36,0,45,0,36,0,45,3.14159,4,0,27.4985,32.1277,0,2.01468,42.6121,0,2.01468,42.6121,0,23.9907,33.7117,0,0,0,-0,15.9751,32.0382,-0,-11.5233,-0.0895068,0,-25.4838,10.4843,0,-25.4838,10.4843,0,-3.5078,1.58397,0,-27.4985,-32.1277,-0,13.9605,-10.5738,-0,13.9605,-10.5738,-0,-8.01554,-1.67348,-0,15.9751,32.0382,2010-Mar-31 16:10:50.297125,2010-Mar-31 16:10:57.594165,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
12,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,2.01468,42.6121,0,2.01468,42.6121,0,-27.3187,33.7117,0,0,0,-0,-23.5008,31.9298,-0,3.49921,-1.07016,0,29.0147,9.61205,0,29.0147,9.61205,0,-0.318729,0.711704,0,27,-33,-0,-25.5155,-10.6822,-0,-25.5155,-10.6822,-0,3.81794,-1.78187,-0,-23.5008,31.9298,2010-Mar-31 16:11:01.697687,2010-Mar-31 16:11:07.673065,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
13,-36,0,45,0,36,0,45,3.14159,5,0,-8.106,72.0081,0,-6.96331,69.5727,0,-6.96331,69.5727,0,-10.517,71.2106,0,0,0,-0,-7.99261,63.11,-0,0.113391,-8.89818,0,1.14269,-2.43547,0,1.14269,-2.43547,0,-2.41097,-0.797549,0,8.106,-72.0081,-0,-1.02929,-6.46271,-0,-1.02929,-6.46271,-0,2.52437,-8.10063,-0,-7.99261,63.11,2010-Mar-31 16:11:11.498228,2010-Mar-31 16:11:15.883589,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
14,-36,0,45,0,36,0,45,3.14159,5,0,52.2281,79.6816,0,48.454,82.8226,0,48.454,82.8226,0,27.1543,59.5668,0,0,0,-0,38.784,64.4098,-0,-13.4441,-15.2719,0,-3.77408,3.14096,0,-3.77408,3.14096,0,-25.0738,-20.1148,0,-52.2281,-79.6816,-0,-9.67005,-18.4128,-0,-9.67005,-18.4128,-0,11.6297,4.84296,-0,38.784,64.4098,2010-Mar-31 16:11:20.422396,2010-Mar-31 16:11:27.733191,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
15,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,-1.79932,43.7216,0,-1.79932,43.7216,0,23.3234,34.2142,0,0,0,-0,27.9059,36.2214,-0,0.905948,3.22136,0,-28.7993,10.7216,0,-28.7993,10.7216,0,-3.67655,1.21422,0,-27,-33,-0,29.7053,-7.50024,-0,29.7053,-7.50024,-0,4.5825,2.00714,-0,27.9059,36.2214,2010-Mar-31 16:11:31.532179,2010-Mar-31 16:11:37.382758,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
16,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,-1.79932,43.7216,0,-1.79932,43.7216,0,-27.0702,34.2142,0,0,0,-0,-20.5463,35.0119,-0,6.45365,2.01191,0,25.2007,10.7216,0,25.2007,10.7216,0,-0.0701594,1.21422,0,27,-33,-0,-18.747,-8.70969,-0,-18.747,-8.70969,-0,6.52381,0.797691,-0,-20.5463,35.0119,2010-Mar-31 16:11:40.932766,2010-Mar-31 16:11:48.766233,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
17,-36,0,45,0,36,0,45,3.14159,5,0,-45.9891,74.5716,0,-41.2909,77.0273,0,-41.2909,77.0273,0,-53.0023,68.3423,0,0,0,-0,-40.3221,53.1136,-0,5.66697,-21.4579,0,4.69821,2.45576,0,4.69821,2.45576,0,-7.0132,-6.22929,0,45.9891,-74.5716,-0,0.968757,-23.9137,-0,0.968757,-23.9137,-0,12.6802,-15.2287,-0,-40.3221,53.1136,2010-Mar-31 16:11:52.933449,2010-Mar-31 16:12:00.616340,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
18,-36,0,45,0,36,0,45,3.14159,4,0,7.39926,33.3743,0,2.23635,43.7207,0,2.23635,43.7207,0,4.50916,33.9352,0,0,0,-0,-8.03035,34.9192,-0,-15.4296,1.54487,0,-5.16292,10.3464,0,-5.16292,10.3464,0,-2.8901,0.560882,0,-7.39926,-33.3743,-0,-10.2667,-8.80152,-0,-10.2667,-8.80152,-0,-12.5395,0.983987,-0,-8.03035,34.9192,2010-Mar-31 16:12:04.242951,2010-Mar-31 16:12:09.844584,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
19,-36,0,45,0,36,0,45,3.14159,4,0,50.2467,58.9574,0,2.23635,43.7207,0,2.23635,43.7207,0,38.7887,49.6537,0,0,0,-0,27.3483,39.9626,-0,-22.8985,-18.9948,0,-48.0104,-15.2367,0,-48.0104,-15.2367,0,-11.458,-9.30375,0,-50.2467,-58.9574,-0,25.1119,-3.75812,-0,25.1119,-3.75812,-0,-11.4404,-9.69108,-0,27.3483,39.9626,2010-Mar-31 16:12:13.589129,2010-Mar-31 16:12:20.102467,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
20,-36,0,45,0,36,0,45,3.14159,4,0,-32.486,42.0474,0,2.18091,43.7209,0,2.18091,43.7209,0,38.8037,49.8377,0,0,0,-0,-26.2557,35.5037,-0,6.23033,-6.54374,0,34.6669,1.67343,0,34.6669,1.67343,0,71.2897,7.79032,0,32.486,-42.0474,-0,-28.4366,-8.21717,-0,-28.4366,-8.21717,-0,-65.0594,-14.3341,-0,-26.2557,35.5037,2010-Mar-31 16:12:23.818012,2010-Mar-31 16:12:30.033300,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
21,-36,0,45,0,36,0,45,3.14159,1,0,43.6028,57.4868,0,0,0,0,0,0,0,0,0,0,0,0,-0,33.6819,48.9818,-0,-9.92094,-8.50499,0,-43.6028,-57.4868,0,-43.6028,-57.4868,0,-43.6028,-57.4868,0,-43.6028,-57.4868,-0,33.6819,48.9818,-0,33.6819,48.9818,-0,33.6819,48.9818,-0,33.6819,48.9818,2010-Mar-31 16:12:33.918571,2010-Mar-31 16:12:41.793114,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
22,-36,0,45,0,36,0,45,3.14159,4,0,-45.7218,35.9874,0,0,0,0,0,0,0,0,0,0,0,0,-0,-36.4821,32.5306,-0,9.23969,-3.45685,0,45.7218,-35.9874,0,45.7218,-35.9874,0,45.7218,-35.9874,0,45.7218,-35.9874,-0,-36.4821,32.5306,-0,-36.4821,32.5306,-0,-36.4821,32.5306,-0,-36.4821,32.5306,2010-Mar-31 16:12:45.719600,2010-Mar-31 16:12:50.813230,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
23,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,0,0,0,0,0,0,0,0,0,0,0,-0,-13.8798,45.1879,-0,-4.87981,-5.81208,0,9,-51,0,9,-51,0,9,-51,0,9,-51,-0,-13.8798,45.1879,-0,-13.8798,45.1879,-0,-13.8798,45.1879,-0,-13.8798,45.1879,2010-Mar-31 16:12:54.620144,2010-Mar-31 16:12:58.633142,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
24,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,0,0,0,0,0,0,0,0,0,0,0,-0,-11.6463,42.3839,-0,-2.6463,-8.61609,0,9,-51,0,9,-51,0,9,-51,0,9,-51,-0,-11.6463,42.3839,-0,-11.6463,42.3839,-0,-11.6463,42.3839,-0,-11.6463,42.3839,2010-Mar-31 16:13:02.420803,2010-Mar-31 16:13:05.992929,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
25,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,0,0,0,0,0,0,0,0,0,0,0,-0,-22.6602,34.3802,-0,4.33978,1.38018,0,27,-33,0,27,-33,0,27,-33,0,27,-33,-0,-22.6602,34.3802,-0,-22.6602,34.3802,-0,-22.6602,34.3802,-0,-22.6602,34.3802,2010-Mar-31 16:13:09.727575,2010-Mar-31 16:13:14.085144,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
26,-36,0,45,0,36,0,45,3.14159,5,0,12.1653,64.1398,0,11.6144,67.0377,0,11.6144,67.0377,0,5.58984,60.8713,0,0,0,-0,4.18707,50.7925,-0,-7.97819,-13.3473,0,-0.550858,2.89793,0,-0.550858,2.89793,0,-6.57542,-3.26847,0,-12.1653,-64.1398,-0,-7.42733,-16.2452,-0,-7.42733,-16.2452,-0,-1.40277,-10.0788,-0,4.18707,50.7925,2010-Mar-31 16:13:18.036890,2010-Mar-31 16:13:24.953806,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
27,-36,0,45,0,36,0,45,3.14159,1,0,-27,33,0,-26.0675,30.0811,0,-26.0675,30.0811,0,-16.7511,-35.9589,0,0,0,-0,-21.999,27.234,-0,5.00102,-5.766,0,0.93249,-2.91887,0,0.93249,-2.91887,0,10.2489,-68.9589,0,27,-33,-0,4.06853,-2.84713,-0,4.06853,-2.84713,-0,-5.24786,63.1929,-0,-21.999,27.234,2010-Mar-31 16:13:29.054952,2010-Mar-31 16:13:34.043663,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
28,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,2.01468,45.4364,0,2.01468,45.4364,0,-26.4567,33.7676,0,0,0,-0,-25.9489,37.0459,-0,1.05109,4.04594,0,29.0147,12.4364,0,29.0147,12.4364,0,0.54334,0.767613,0,27,-33,-0,-27.9636,-8.39042,-0,-27.9636,-8.39042,-0,0.507751,3.27832,-0,-25.9489,37.0459,2010-Mar-31 16:13:37.802989,2010-Mar-31 16:13:42.513159,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
29,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,2.01468,45.4364,0,2.01468,45.4364,0,-26.0936,34.2142,0,0,0,-0,-22.6259,35.7893,-0,4.3741,2.78932,0,29.0147,12.4364,0,29.0147,12.4364,0,0.906367,1.21422,0,27,-33,-0,-24.6406,-9.64703,-0,-24.6406,-9.64703,-0,3.46774,1.5751,-0,-22.6259,35.7893,2010-Mar-31 16:13:46.313274,2010-Mar-31 16:13:51.051645,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
30,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,2.01468,45.4364,0,2.01468,45.4364,0,-10.5495,51.3317,0,0,0,-0,-11.9581,45.3046,-0,-2.95812,-5.69539,0,11.0147,-5.56365,0,11.0147,-5.56365,0,-1.5495,0.331674,0,9,-51,-0,-13.9728,-0.131745,-0,-13.9728,-0.131745,-0,-1.40862,-6.02706,-0,-11.9581,45.3046,2010-Mar-31 16:13:54.866345,2010-Mar-31 16:13:58.952657,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
31,-36,0,45,0,36,0,45,3.14159,4,0,6.30873,43.7879,0,2.01468,45.4364,0,2.01468,45.4364,0,3.69852,43.9498,0,0,0,-0,-1.87216,41.7002,-0,-8.18089,-2.08767,0,-4.29405,1.64849,0,-4.29405,1.64849,0,-2.61021,0.16197,0,-6.30873,-43.7879,-0,-3.88684,-3.73617,-0,-3.88684,-3.73617,-0,-5.57068,-2.24964,-0,-1.87216,41.7002,2010-Mar-31 16:14:02.696119,2010-Mar-31 16:14:07.483551,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
32,-36,0,45,0,36,0,45,3.14159,1,0,-21.3502,28.8647,0,2.01468,45.4364,0,2.01468,45.4364,0,3.69376,43.5525,0,0,0,-0,-22.9436,24.8204,-0,-1.59337,-4.04432,0,23.3649,16.5717,0,23.3649,16.5717,0,25.044,14.6878,0,21.3502,-28.8647,-0,-24.9583,-20.616,-0,-24.9583,-20.616,-0,-26.6374,-18.7322,-0,-22.9436,24.8204,2010-Mar-31 16:14:11.497166,2010-Mar-31 16:14:16.049241,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
33,-36,0,45,0,36,0,45,3.14159,1,0,-27,33,0,0,0,0,0,0,0,0,0,0,0,0,-0,-23.7882,25.4224,-0,3.21175,-7.57761,0,27,-33,0,27,-33,0,27,-33,0,27,-33,-0,-23.7882,25.4224,-0,-23.7882,25.4224,-0,-23.7882,25.4224,-0,-23.7882,25.4224,2010-Mar-31 16:14:19.707489,2010-Mar-31 16:14:24.423471,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
34,-36,0,45,0,36,0,45,3.14159,1,0,27.1884,41.8891,0,0,0,0,0,0,0,0,0,0,0,0,-0,21.1386,41.6614,-0,-6.04981,-0.227698,0,-27.1884,-41.8891,0,-27.1884,-41.8891,0,-27.1884,-41.8891,0,-27.1884,-41.8891,-0,21.1386,41.6614,-0,21.1386,41.6614,-0,21.1386,41.6614,-0,21.1386,41.6614,2010-Mar-31 16:14:28.508847,2010-Mar-31 16:14:35.462569,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
35,-36,0,45,0,36,0,45,3.14159,5,0,-5.30346,61.5563,0,0,0,0,0,0,0,0,0,0,0,0,-0,-7.19658,55.0144,-0,-1.89312,-6.54196,0,5.30346,-61.5563,0,5.30346,-61.5563,0,5.30346,-61.5563,0,5.30346,-61.5563,-0,-7.19658,55.0144,-0,-7.19658,55.0144,-0,-7.19658,55.0144,-0,-7.19658,55.0144,2010-Mar-31 16:14:39.209385,2010-Mar-31 16:14:43.752421,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
36,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,-2.68637,43.2759,0,-2.68637,43.2759,0,5.06154,50.0841,0,0,0,-0,0.0317091,44.6986,-0,-8.96829,-6.30137,0,-11.6864,-7.72414,0,-11.6864,-7.72414,0,-3.93846,-0.915944,0,-9,-51,-0,2.71808,1.42278,-0,2.71808,1.42278,-0,-5.02983,-5.38542,-0,0.0317091,44.6986,2010-Mar-31 16:14:47.333374,2010-Mar-31 16:14:51.663679,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
37,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,-2.40887,43.2768,0,-2.40887,43.2768,0,24.522,34.8266,0,0,0,-0,19.4189,34.5876,-0,-7.58115,1.58762,0,-29.4089,10.2768,0,-29.4089,10.2768,0,-2.47801,1.82658,0,-27,-33,-0,21.8277,-8.68917,-0,21.8277,-8.68917,-0,-5.10314,-0.238963,-0,19.4189,34.5876,2010-Mar-31 16:14:55.590260,2010-Mar-31 16:15:02.828303,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
38,-36,0,45,0,36,0,45,3.14159,1,0,27.1825,55.3888,0,28.1342,55.3254,0,28.1342,55.3254,0,-17.4161,-35.1067,0,0,0,-0,30.2056,51.973,-0,3.02316,-3.41575,0,0.951715,-0.063388,0,0.951715,-0.063388,0,-44.5986,-90.4955,0,-27.1825,-55.3888,-0,2.07144,-3.35236,-0,2.07144,-3.35236,-0,47.6217,87.0797,-0,30.2056,51.973,2010-Mar-31 16:15:06.399069,2010-Mar-31 16:15:10.880986,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
39,-36,0,45,0,36,0,45,3.14159,4,0,-12.8091,30.3687,0,-1.79932,42.5573,0,-1.79932,42.5573,0,-15.4669,30.8287,0,0,0,-0,-13.1854,31.7027,-0,-0.376383,1.33403,0,11.0097,12.1886,0,11.0097,12.1886,0,-2.65787,0.460011,0,12.8091,-30.3687,-0,-11.3861,-10.8546,-0,-11.3861,-10.8546,-0,2.28149,0.874017,-0,-13.1854,31.7027,2010-Mar-31 16:15:14.519377,2010-Mar-31 16:15:20.973315,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
40,-36,0,45,0,36,0,45,3.14159,4,0,26.0424,39.3318,0,-1.79932,42.5573,0,-1.79932,42.5573,0,22.6243,39.0305,0,0,0,-0,19.5066,36.1095,-0,-6.53583,-3.22232,0,-27.8418,3.22546,0,-27.8418,3.22546,0,-3.41812,-0.301315,0,-26.0424,-39.3318,-0,21.3059,-6.44778,-0,21.3059,-6.44778,-0,-3.11771,-2.92101,-0,19.5066,36.1095,2010-Mar-31 16:15:24.629295,2010-Mar-31 16:15:32.103009,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
41,-36,0,45,0,36,0,45,3.14159,5,0,-3.00961,80.2624,0,-1.79932,69.1556,0,-1.79932,69.1556,0,-8.51694,79.3777,0,0,0,-0,-4.98061,59.1033,-0,-1.971,-21.1591,0,1.21028,-11.1068,0,1.21028,-11.1068,0,-5.50733,-0.884683,0,3.00961,-80.2624,-0,-3.18128,-10.0523,-0,-3.18128,-10.0523,-0,3.53633,-20.2745,-0,-4.98061,59.1033,2010-Mar-31 16:15:35.831435,2010-Mar-31 16:15:40.483309,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
42,-36,0,45,0,36,0,45,3.14159,4,0,16.7774,43.5504,0,-1.79932,43.7216,0,-1.79932,43.7216,0,14.516,43.1001,0,0,0,-0,14.504,37.0848,-0,-2.27348,-6.46559,0,-18.5768,0.171213,0,-18.5768,0.171213,0,-2.26141,-0.450256,0,-16.7774,-43.5504,-0,16.3033,-6.6368,-0,16.3033,-6.6368,-0,-0.0120624,-6.01533,-0,14.504,37.0848,2010-Mar-31 16:15:44.539603,2010-Mar-31 16:15:53.552755,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
43,-36,0,45,0,36,0,45,3.14159,1,0,9,51,0,8.28411,49.8377,0,8.28411,49.8377,0,-17.8585,-37.4154,0,0,0,-0,13.8309,40.3066,-0,4.83085,-10.6934,0,-0.715885,-1.16226,0,-0.715885,-1.16226,0,-26.8585,-88.4154,0,-9,-51,-0,5.54674,-9.53116,-0,5.54674,-9.53116,-0,31.6894,77.722,-0,13.8309,40.3066,2010-Mar-31 16:15:57.468324,2010-Mar-31 16:16:02.666783,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
44,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,1.29524,44.3307,0,1.29524,44.3307,0,5.74499,50.2695,0,0,0,-0,11.1436,41.2414,-0,2.14361,-9.75863,0,-7.70476,-6.66933,0,-7.70476,-6.66933,0,-3.25501,-0.730534,0,-9,-51,-0,9.84837,-3.08931,-0,9.84837,-3.08931,-0,5.39862,-9.0281,-0,11.1436,41.2414,2010-Mar-31 16:16:06.570192,2010-Mar-31 16:16:12.042540,2010-Mar-31 16:08:50.362840,2010-Mar-31 16:08:47.358983
