event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop,point_type
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-Jul-26 16:19:02.360955,2010-Jul-26 16:19:02.360955,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,
0,-36,0,45,0,36,0,45,3.14159,1,-0,62.3372,48.0783,0,38.3712,43.7784,0,38.3712,43.7784,0,-16.9514,-38.4731,0,0,0,-0,34.0885,30.2801,0,-28.2487,-17.7982,0,-23.966,-4.29994,0,-23.966,-4.29994,0,-79.2886,-86.5514,0,-62.3372,-48.0783,-0,-4.28271,-13.4982,-0,-4.28271,-13.4982,-0,51.0399,68.7533,-0,34.0885,30.2801,2010-Jul-26 16:19:09.021573,2010-Jul-26 16:19:43.657740,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
1,-36,0,45,0,36,0,45,3.14159,1,-0,51.5498,47.9569,0,36.6439,43.8073,0,36.6439,43.8073,0,-16.9512,-38.7769,0,0,0,-0,34.0515,30.2526,0,-17.4983,-17.7043,0,-14.9059,-4.14961,0,-14.9059,-4.14961,0,-68.501,-86.7338,0,-51.5498,-47.9569,-0,-2.59232,-13.5547,-0,-2.59232,-13.5547,-0,51.0028,69.0295,-0,34.0515,30.2526,2010-Jul-26 16:19:50.038400,2010-Jul-26 16:19:59.435875,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
2,-36,0,45,0,36,0,45,3.14159,1,-0,40.8919,47.941,0,32.008,43.9555,0,32.008,43.9555,0,-16.9528,-35.2571,0,0,0,-0,34.1954,30.2886,0,-6.69646,-17.6524,0,-8.88393,-3.98554,0,-8.88393,-3.98554,0,-57.8447,-83.1981,0,-40.8919,-47.941,-0,2.18747,-13.6668,-0,2.18747,-13.6668,-0,51.1482,65.5457,-0,34.1954,30.2886,2010-Jul-26 16:20:04.440487,2010-Jul-26 16:20:13.074357,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
3,-36,0,45,0,36,0,45,3.14159,1,-0,29.8511,48.518,0,23.8773,45.5876,0,23.8773,45.5876,0,-16.9514,-38.4731,0,0,0,-0,34.0514,30.2361,0,4.20033,-18.2819,0,-5.97377,-2.93041,0,-5.97377,-2.93041,0,-46.8025,-86.9911,0,-29.8511,-48.518,-0,10.1741,-15.3515,-0,10.1741,-15.3515,-0,51.0028,68.7092,-0,34.0514,30.2361,2010-Jul-26 16:20:19.950307,2010-Jul-26 16:20:23.960864,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
4,-36,0,45,0,36,0,45,3.14159,1,-0,15.438,48.8474,0,12.2477,45.5756,0,12.2477,45.5756,0,-16.9529,-34.9756,0,0,0,-0,34.0255,30.2665,0,18.5875,-18.5809,0,-3.19027,-3.27182,0,-3.19027,-3.27182,0,-32.3909,-83.823,0,-15.438,-48.8474,-0,21.7778,-15.3091,-0,21.7778,-15.3091,-0,50.9784,65.2421,-0,34.0255,30.2665,2010-Jul-26 16:20:28.894097,2010-Jul-26 16:20:31.754693,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
5,-36,0,45,0,36,0,45,3.14159,1,-0,2.68881,48.5273,0,2.47667,45.5462,0,2.47667,45.5462,0,-16.9532,-34.4179,0,0,0,-0,34.0483,30.2925,0,31.3594,-18.2348,0,-0.212137,-2.9811,0,-0.212137,-2.9811,0,-19.642,-82.9452,0,-2.68881,-48.5273,-0,31.5716,-15.2537,-0,31.5716,-15.2537,-0,51.0014,64.7104,-0,34.0483,30.2925,2010-Jul-26 16:20:36.642416,2010-Jul-26 16:20:41.832982,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
6,-36,0,45,0,36,0,45,3.14159,1,-0,-8.5563,48.9418,0,-5.74839,46.4473,0,-5.74839,46.4473,0,-16.9529,-34.9756,0,0,0,-0,33.9946,30.2811,0,42.5509,-18.6607,0,2.80791,-2.4945,0,2.80791,-2.4945,0,-8.39661,-83.9174,0,8.5563,-48.9418,-0,39.743,-16.1662,-0,39.743,-16.1662,-0,50.9475,65.2567,-0,33.9946,30.2811,2010-Jul-26 16:20:46.829082,2010-Jul-26 16:20:51.014539,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
7,-36,0,45,0,36,0,45,3.14159,1,-0,-19.9362,49.4044,0,-16.6379,46.5744,0,-16.6379,46.5744,0,-16.9512,-38.7769,0,0,0,-0,34.0732,30.2615,0,54.0094,-19.1429,0,3.29829,-2.82995,0,3.29829,-2.82995,0,2.98496,-88.1813,0,19.9362,-49.4044,-0,50.7112,-16.3129,-0,50.7112,-16.3129,-0,51.0245,69.0384,-0,34.0732,30.2615,2010-Jul-26 16:20:55.469353,2010-Jul-26 16:21:00.912029,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
8,-36,0,45,0,36,0,45,3.14159,1,-0,-31.3695,49.5096,0,-26.1237,46.7658,0,-26.1237,46.7658,0,-16.9512,-38.7769,0,0,0,-0,34.0379,30.2703,0,65.4074,-19.2393,0,5.24583,-2.74376,0,5.24583,-2.74376,0,14.4183,-88.2865,0,31.3695,-49.5096,-0,60.1616,-16.4956,-0,60.1616,-16.4956,-0,50.9892,69.0472,-0,34.0379,30.2703,2010-Jul-26 16:21:05.986082,2010-Jul-26 16:21:09.474814,2010-Jul-26 16:19:05.362513,2010-Jul-26 16:19:02.360955,SALIENT
